id,post_id,price,bedrooms,bathrooms,sqft,zip_code,neighborhood,full_description,scraped_date,avg_median_income,crime_count_2025,population_2025
56069,7899564765,1795,1.0,1.0,525.0,94109,nob hill,"QR Code Link to This Post
1030 Post Street Apartments
1030 Post Street #112, San Francisco, CA, 94109
Want more information on this unit? See link (below):
https://VPMManagement.myleasingmail.com/hhvfwo
Call Now -
show contact info
x 35
OR Text
35
to
show contact info
to contact us.
Beautiful Apartments in San Francisco, CA
1 Bedroom, 1 Bath | Approximately 525 Sq. Ft.
Community Info:
Welcome to 1030 Post Street, a residential community featuring studio and one bedroom apartments in San Francisco, CA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options. Are you looking for an apartment for rent in San Francisco, CA? Contact our friendly, professional office staff to schedule a tour today.
Unit Highlights
✧  Carpet
✧  Fridge
✧  Stove/Oven
✧  Heating
✧  Vertical Blinds
✧  Garbage Disposal
✧  Shower/Tub Combo
✧  Vinyl/Plank
✧  Large Windows
Community Highlights
✧  Parking - Street
✧  Courtesy Patrol
✧  Elevators
✧  24/7 Emergency Maintenance
✧  Attentive Friendly Staff
Office Hours
Monday-Friday: 9:00AM-5:00PM
Equal Housing Opportunity
660zTg3S",2025-12-03 00:47:33,124571.64,3286,2599
56070,7899562904,1645,0.0,1.0,,94109,tenderloin,"QR Code Link to This Post
815 O'Farrell Street Unit #403 - San Francisco, CA - Brick and Timber
Please Enjoy A 3D Virtual Tour Available Here - https://my.matterport.com/show/?m=AXLT9AagWB1
FOR A QUICKER RESPONSE PLEASE CALL OR TEXT Jason
show contact info
) *
- PROMOTIONS -
* SECURITY DEPOSIT - $1000 With Approved Credit (Ask for Details)
LEASE TERMS:
-Lease: 1 Year
-Income: 2.5x Rent
-Utilities: None Included
-Pets: Allowed No Pet Rent! - No Pet Deposit!! (2 pet max), Breed Restrictions Apply
-Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings
-Renter's Insurance is Required
-Managed by Brick and Timber
-Application Fee: Yes
- Rent Controlled Building*
CONTACT:
Jason A.
Leasing Agent
DRE #02099888
Brick + Timber
www.rentbt.com
Cell:
show contact info
*Happy to help tour anything within the Brick and Timber Portfolio! We have plenty of more units available!
Just give me a call, text or email and let me know what you're looking for!
*Showings By Appointment Only - Please feel free to text, call or email to schedule tours!
*Price and Availability Subject to Change.
*Square footage is estimated
*We do business in accordance with the Federal Fair Housing Law
Please Enjoy A 3D Virtual Tour Avaliable Here - https://my.matterport.com/show/?m=AXLT9AagWB1
FOR A FASTER RESPONCE PLEASE CALL OR TEXT Jason
show contact info
) *",2025-12-03 00:47:33,124571.64,3286,2599
56071,7893373006,1795,1.0,1.0,525.0,94109,tenderloin,"QR Code Link to This Post
$1795 for one bedroom!
Security Deposit $1000
Pet Deposit $200
525 sq foot 1 bedroom unit in lovely historical building. Full kitchen includes stove/oven, fridge/freezer, garbage disposal and upper/lower cabinets. The affordable rent includes sewer, water, hot water and trash. 24/7 maintenance and a friendly staff, make Post Street home!
Elevator building, smoke free as well.
Walking distance to everything you need!
Affordable housing, Maximum income limits apply.
EHO",2025-12-03 00:47:33,124571.64,3286,2599
56073,7899556823,1795,0.0,1.0,220.0,94109,downtown / civic / van ness,"QR Code Link to This Post
735  Taylor # 204
MOVE IN SPECIAL
1/2 Month deposit with good credit!
*Studio
*Available Now*
Within Walking Distance;
Lers Ros
Upcider
Brendas
JAne
Rye
Farm:Table
Tradition
Unit Features:
Hardwood floors
Fridge
Microwave
Stove
Remodeled Bathroom
Laundry in building!
Pets Allowed ( 40 pounds or less and no aggressive breeds)
$75 per month for each pet
Utilities not included
Street Parking only
Renters insurance required
*Have access to all Rentsfnow Listings*
>Rentsfnow.com
Steven Shutler
Leasing Agent
Sshutler@Rentsfnow
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions with out just cause, and which states that any waiver by tenant of their rights under the rent ordinance is void as contrary to public policy.",2025-12-03 00:47:33,124571.64,3286,2599
56074,7899556049,1695,0.0,1.0,253.0,94109,downtown / civic / van ness,"QR Code Link to This Post
735  Taylor 105
MOVE IN SPECIAL
1/2 Month deposit with good credit!
*Studio
*Available Now*
Within Walking Distance;
Lers Ros
Upcider
Brendas
JAne
Rye
Farm:Table
Tradition
Unit Features:
Hardwood floors
Fridge
Microwave
Stove
Remodeled Bathroom
Laundry in building!
Pets Allowed ( 40 pounds or less and no aggressive breeds)
$75 per month for each pet
Utilities not included
Street Parking only
Renters insurance required
*Have access to all Rentsfnow Listings*
>Rentsfnow.com
Steven Shutler
Leasing Agent
Sshutler@Rentsfnow
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions with out just cause, and which states that any waiver by tenant of their rights under the rent ordinance is void as contrary to public policy.",2025-12-03 00:47:33,124571.64,3286,2599
56075,7899543327,1795,1.0,1.0,525.0,94109,nob hill,"QR Code Link to This Post
1030 Post Street Apartments
1030 Post Street #112, San Francisco, CA, 94109
Call Now -
show contact info
x 34
OR Text
34
to
show contact info
to text our team directly.
More unit details at:
https://VPMManagement.myleasingmail.com/fl3712
Beautiful Apartments in San Francisco, CA
1 bedroom | 1 bath | 525 square feet
Features
✓  Fridge
✓  Large Windows
✓  Garbage Disposal
✓  Carpet
✓  Stove/Oven
✓  Heating
✓  Shower/Tub Combo
✓  Vinyl/Plank
✓  Vertical Blinds
Community Features
✓  Attentive Friendly Staff
✓  24/7 Emergency Maintenance
✓  Parking - Street
✓  Courtesy Patrol
✓  Elevators
Community Info
Welcome to 1030 Post Street, a residential community featuring studio and one bedroom apartments in San Francisco, CA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options. Are you looking for an apartment for rent in San Francisco, CA? Contact our friendly, professional office staff to schedule a tour today.
Office Hours
Monday-Friday: 9:00AM-5:00PM
Equal Housing Opportunity
eQmVW1s9e",2025-12-03 00:47:33,124571.64,3286,2599
56076,7896791701,1700,0.0,1.0,400.0,94108,nob hill,"QR Code Link to This Post
DESCRIPTION
This off-street studio is centrally located in Nob Hill. Enjoy living within a stone's throw from local markets, public transportation, coffee shops, shopping in Union Square, nightlife, and Huntington Square Park.
KEY FEATURES
Bedrooms: Efficiency Studio.
Bathrooms: 1 Bath.
Lease Duration: 1 Year (then month-to-month).
Rent-Controlled.
Water and Trash Included.
RENTAL FEATURES
Standard Refrigerator.
Two-burner Stovetop.
Microwave.
Hardwood Floors.
Window Blinds.
Bathroom with Walk-in Shower.
Large Closet.
Deposit: $1700.
COMMUNITY FEATURES
Well-Maintained Vintage Building.
In-Building, Card/App-Operated Laundry.
Elevator.
Near Transportation.
LEASE TERMS
Water and Trash included. Photos may be of a similar unit. For more listings, please visit Meridian Management Group at mmgprop.com MMG202 / CALBRE #990193. This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy. Equal Housing Opportunity.",2025-12-03 00:47:33,74320.49,2037,2500
56078,7893196899,1795,1.0,1.0,525.0,94109,tenderloin,"QR Code Link to This Post
$1795 for one bedroom!
Security Deposit $1000
Pet Deposit $200
525 sq foot 1 bedroom unit in lovely historical building. Full kitchen includes stove/oven, fridge/freezer, garbage disposal and upper/lower cabinets. The affordable rent includes sewer, water, hot water and trash. 24/7 maintenance and a friendly staff, make Post Street home!
Elevator building, smoke free as well.
Walking distance to everything you need!
Affordable housing, Maximum income limits apply.
EHO",2025-12-03 00:47:33,124571.64,3286,2599
56080,7899505706,1795,1.0,1.0,525.0,94109,nob hill,"QR Code Link to This Post
Beds:
1
Baths:
1
Square Feet:
525
Need more information? Copy this link:
https://VPMManagement.myleasingmail.com/luoalt
Beautiful Apartments in San Francisco, CA
Call Now -
show contact info
x 33
OR Text
33
to
show contact info
to text our leasing team.
Community Info
Welcome to 1030 Post Street, a residential community featuring studio and one bedroom apartments in San Francisco, CA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options. Are you looking for an apartment for rent in San Francisco, CA? Contact our friendly, professional office staff to schedule a tour today.
Residence Features
✩  Heating
✩  Carpet
✩  Vertical Blinds
✩  Garbage Disposal
✩  Stove/Oven
✩  Large Windows
✩  Shower/Tub Combo
✩  Vinyl/Plank
✩  Fridge
Community Features
✩  Parking - Street
✩  Courtesy Patrol
✩  Elevators
✩  Attentive Friendly Staff
✩  24/7 Emergency Maintenance
Office Hours
Monday-Friday: 9:00AM-5:00PM
Equal Housing Opportunity
U6ybpyutLY7b",2025-12-03 00:47:33,124571.64,3286,2599
56081,7899485262,1645,0.0,1.0,376.0,94109,tenderloin,"QR Code Link to This Post
PLEASE TEXT SHANNA FOR FASTER RESPONSE
show contact info
ANYTHING Brick and Timber, I can show you!
Take a virtual tour. Click here: https://my.matterport.com/show/?m=AXLT9AagWB1
Unit Features:
- Spacious Studio with generous closet space.
- Bathroom with bathtub.
- Kitchen equipped with refrigerator and stove.
- Lovely countertops and multiple cupboards.
- Beautiful flooring throughout the unit.
Lease Terms:
- Lease Duration: 12 months.
Community Amenities
Gated Entry • Elevator • Maintenance Support Service • Online Payment Portal • Pet Friendly • Resident Support Service • Storage • Common Area Laundry
Apartment Amenities
Dishwasher (In Select Units) • Views (In Select Units) • Walk In Closet (In Select Units)
Location Highlights:
- Walk Score: 99. Discover the convenience of a walker's paradise!
- Transit Score: 100. Commuting made easy with excellent transit options!
- Explore nearby green spaces like O'Farrell-Larkin Mini-Park, Boeddeker Park, and the historic Market Street Theatre and Loft District.
- Central Bliss! Unwind in the heart of it all – steps away from Union Square, Nob Hill, and the vibrant Fillmore District.
Brick + Timber
Email: shanna @ rentbt.com
Text for Faster response:
show contact info
www.rentbt.com
DRE # 01823294
*Square footage is estimated.
*Prices, promotions, and availability are subject to change.",2025-12-03 00:47:33,124571.64,3286,2599
56082,7897861008,1700,0.0,1.0,,94109,lower nob hill,"QR Code Link to This Post
Fabulous, spacious studio.
Located on the 8th floor of a trophy building.
Facing South, all day sunshine!
Remodeled kitchen w area for dining or for a home office.
A huge walk-in closet, 1 bonus closet.
Laundry on site. Manager on site.
Walk 3 blocks North to Nob Hill, Huntington Park, Grace Cathedral, and Trader Joe’s.
Union Square 10 minute walk.
Text or call Broker Jayne Jones @
show contact info
.",2025-12-03 00:47:33,124571.64,3286,2599
56083,7899478267,1795,1.0,1.0,525.0,94109,nob hill,"QR Code Link to This Post
This is a 1 Bedroom, 1 Bath, Approximately 525 Sq. Ft.
Use this link for more information:
https://VPMManagement.myleasingmail.com/atxcm8
Call Now -
show contact info
x 32
OR Text
32
to
show contact info
to text with us.
Beautiful Apartments in San Francisco, CA
Community Info:
One look at our spacious floor plans and it's easy to see how 1030 Post Street Apartments is different from other apartments for rent in San Francisco, CA. With a variety of floor plans to choose from, we're certain there's one that's just right for you. Browse our studio and one bedroom floor plans.
Features:
‣  Shower/Tub Combo
‣  Large Windows
‣  Vinyl/Plank
‣  Heating
‣  Garbage Disposal
‣  Stove/Oven
‣  Carpet
‣  Vertical Blinds
‣  Fridge
Community Amenities:
‣  Elevators
‣  Attentive Friendly Staff
‣  Parking - Street
‣  24/7 Emergency Maintenance
‣  Courtesy Patrol
Office Hours:
Monday-Friday: 9:00AM-5:00PM
1030 Post Street Apartments
1030 Post Street #112, San Francisco, CA, 94109
Equal Housing Opportunity
cSIJEItLT44c",2025-12-03 00:47:33,124571.64,3286,2599
56084,7898547612,1650,1.0,1.0,350.0,94132,ingleside / SFSU / CCSF,"QR Code Link to This Post
Extra clean spacious inlaw room located on the ground level of the house overlooking a nice backyard through 3 windows. Very quiet, lots of natural lights suitable for a student or working professional.
The unit has a full bathroom, a kitchenette and walk-in closet. It is carpeted and furnished with a set of queen size bed, dresser, desk, and bookcase. You have access to the unit through a separate entrance.
The house is located in a safe neighborhood within walking distance to SFSU and a short ride to CCSF. Close to all amenities, shops and restaurants.
- High speed fiber Wi-Fi available.
- Low shared utilities
- On site laundry (washer and dryer in the garage).
- First and last month rent plus $900 refundable security deposit to move in.
*** No drugs, No pets, No parties, No sleepovers***
&&& Single Occupancy.&&&
+++ One year lease required.+++
>>> Available NOW.
You may respond to the ad with some info about yourself, your job or any source of income, preferred move in date, and a phone number to be contacted.",2025-12-03 00:47:33,112994.28,1276,3642
56085,7898547696,1650,1.0,1.0,350.0,94132,ingleside / SFSU / CCSF,"QR Code Link to This Post
Extra clean spacious inlaw room located on the ground level of the house overlooking a nice backyard through 3 windows. Very quiet, lots of natural lights suitable for a student or working professional.
The unit has a full bathroom, a kitchenette and walk-in closet. It is carpeted and furnished with a set of queen size bed, dresser, desk, and bookcase. You have access to the unit through a separate entrance.
The house is located in a safe neighborhood within walking distance to SFSU and a short ride to CCSF. Close to all amenities, shops and restaurants.
- High speed fiber Wi-Fi available.
- Low shared utilities
- On site laundry (washer and dryer in the garage).
- First and last month rent plus $900 refundable security deposit to move in.
*** No drugs, No pets, No parties, No sleepovers***
&&& Single Occupancy.&&&
+++ One year lease required.+++
>>> Available NOW.
You may respond to the ad with some info about yourself, your job or any source of income, preferred move in date, and a phone number to be contacted.",2025-12-03 00:47:33,112994.28,1276,3642
56086,7898547935,1650,1.0,1.0,350.0,94132,ingleside / SFSU / CCSF,"QR Code Link to This Post
Super clean spacious inlaw room located on the ground level of the house overlooking a nice backyard through 3 windows. Very quiet, lots of natural lights suitable for a student or working professional.
The unit has a full bathroom, a kitchenette and walk-in closet. It is carpeted and furnished with a set of queen size bed, dresser, desk, and bookcase. You have access to the unit through a separate entrance.
The house is located in a safe neighborhood within walking distance to SFSU and a short ride to CCSF. Close to all amenities, shops and restaurants.
- High speed fiber Wi-Fi available.
- Low shared utilities
- On site laundry (washer and dryer in the garage).
- First and last month rent plus $900 refundable security deposit to move in.
*** No drugs, No pets, No parties, No sleepovers***
&&& Single Occupancy.&&&
+++ One year lease required.+++
>>> Available NOW.
You may respond to the ad with some info about yourself, your job or any source of income, preferred move in date, and a phone number to be contacted.",2025-12-03 00:47:33,112994.28,1276,3642
56088,7899463740,1750,1.0,1.0,370.0,94133,nob hill,"QR Code Link to This Post
Location : 826 Jackson St #307
San Francisco Ca 94133
Rent : $1750 per month
Lease Term : 1 year
Bed/Bath : 1/1
Pets : No
Smoker : No
Unit Type : mixed 12 units apt, 3/F
Parking : street parking
Laundry : nearby laundromat
Flooring : hard wood flooring
Utils Included : water and garbage
Security deposit : $1750
This is a three story mixed use bldg located in Chinatown, nestled between Nob Hill and financial district
One block from Portsmouth Square ,Hilton Hotel , City College and Union Square . It’s nearby cafes , restaurant , grocery stores, and transportation
Text
show contact info
for viewing",2025-12-03 00:47:33,116675.28,1370,2842
56089,7893676478,1795,1.0,1.0,525.0,94109,tenderloin,"QR Code Link to This Post
Post Street Apartments
$1795 for one bedroom!
Security Deposit $1000
Pet Deposit $250
525 sq foot 1 bedroom unit in lovely historical building. Full kitchen includes stove/oven, fridge/freezer, garbage disposal and upper/lower cabinets. The affordable rent includes sewer, water, hot water and trash. 24/7 maintenance and a friendly staff, make Post Street home!
Elevator building, smoke free as well.
Walking distance to everything you need!
Affordable housing, Maximum income limits apply.
EHO",2025-12-03 00:47:33,124571.64,3286,2599
56090,7899455390,1795,1.0,1.0,525.0,94109,nob hill,"QR Code Link to This Post
1030 Post Street Apartments
1030 Post Street #112, San Francisco, CA, 94109
Want more info on this unit? See the link (below):
https://VPMManagement.myleasingmail.com/6l83pn
Call Now -
show contact info
x 31
OR Text
31
to
show contact info
to contact our leasing team.
Beautiful Apartments in San Francisco, CA
1 Bedroom, 1 Bath | Approximately 525 Sq. Ft.
Community Info:
One look at our spacious floor plans and it's easy to see how 1030 Post Street Apartments is different from other apartments for rent in San Francisco, CA. With a variety of floor plans to choose from, we're certain there's one that's just right for you. Browse our studio and one bedroom floor plans.
Unit Highlights
✧  Vertical Blinds
✧  Shower/Tub Combo
✧  Large Windows
✧  Carpet
✧  Fridge
✧  Heating
✧  Garbage Disposal
✧  Stove/Oven
✧  Vinyl/Plank
Community Highlights
✧  24/7 Emergency Maintenance
✧  Elevators
✧  Courtesy Patrol
✧  Parking - Street
✧  Attentive Friendly Staff
Office Hours
Monday-Friday: 9:00AM-5:00PM
Equal Housing Opportunity
FOJOx0TxLYvD",2025-12-03 00:47:33,124571.64,3286,2599
56091,7898565371,1745,0.0,1.0,320.0,94102,downtown / civic / van ness,"QR Code Link to This Post
555 O'Farrell Street #604, San Francisco, CA
Open houses:
https://sfrent.net/advertised_apartments/555-ofarrell-street-unit604
3D Virtual Tour:
View Virtual Tour:  https://my.matterport.com/show/?m=VCC6Lfm4DGg
Local Amenities
Walk Score 100 out of 100 – Transit Score 100 out of 100 – Bike Score 79 out of 100
Transportation: BART (Bay Area Rapid Transit) and Muni Metro Light Rail, Powell & O’Farrell Station is located just 0.3 miles from 555 O’Farrell. Muni Bus Lines 2, 3, 19, 38, 38r, 27, 31, 47 and 49 are within blocks of this centrally located property.
Parks: Buena Vista Park, San Francisco Maritime National Historical Park, & Jefferson Square Park
Entertainment: Union Square, Bill Graham Civic Auditorium, Asian Art Museum, AMC Theater, Louise M. Davies Symphony Hall, Main Branch San Francisco Library, Children’s Creativity Museum, Aquarium of the Bay, Curran Theater & More!
Coffee Shops: Cafecito, Scullery, & Tu Kim Coffee Shop
Dining: Jasper’s Corner Tap and Kitchen, Brenda’s French Soul Food, El Tesoro Taqueria & Grill & Osha Thai BBQ
Groceries: Safeway, Econo Market, Trader Joes & Yogi Food Market
Schools: UC Hastings College of Law, the Art Institute of California San Francisco & the San Francisco Conservatory of Music
Medical:  St. Francis Medical Group, Acu-Care Medical Group, & MD Alternative Health
Unit Amenities
Elevator Access
Laundry Facilities On-Site
On-site Resident Manager
Entry System
Heat, Water and Garbage Included
Lots of Storage
Large Refrigerator
Gas Stove
Dishwasher
Tiled Bathroom
Shower/Bathtub Combo
Cable/Internet Ready
Smoke Free Unit
Underwriting Criteria
3x monthly rent in gross income
3x monthly rent in bank assets
Credit score of 600 or above
Proof of income (offer letter, pay stubs, tax return, etc.)
Proof of assets (bank statements, investment accounts, etc.)
If you do not meet any of the criteria as an individual applicant, you may qualify with:
Additional tenants on the lease
A Guarantor/Co-Signer
We have multiple units available!
Rental listings are subject to change at any time. SFRent believes all information contained herein to be correct. SFRent assumes no legal responsibility for the accuracy of, any errors, or any omissions in this ad or any syndicated ads on third-party websites. Square footage is an estimate only, not an exact measurement.",2025-12-03 00:47:33,76611.4,6937,3367
56092,7898269198,1625,0.0,1.0,425.0,94109,tenderloin,"QR Code Link to This Post
360 Hyde St, #505 – San Francisco, CA
Leasing Special
No Application Fee. Ask us for details!
Open Houses
Leasing Agent: Larry Gothberg –
show contact info
Apply Now Here:  https://sfrent.net/advertised_apartments/360-hyde-street-unit505
3D TOUR: https://my.matterport.com/show/?m=Ahvyeo7NRd6
Welcome to 360 Hyde Street!
Centrally located in the heart of San Francisco’s vibrant downtown, just blocks from Nob Hill, Polk Street, Civic Center, and Union Square. 
This building blends classic Victorian architecture with modern features, offering the perfect mix of charm and convenience.
The Neighborhood Experience
Walking distance to Trader Joe’s, IKEA, and numerous bodegas and restaurants
Close to The Great American Music Hall, The Warfield, and American Conservatory Theatre
Near nightlife spots like Rye, Bourbon & Branch, and Nite Cap Bar
Easy access to Civic Center and Powell BART, plus multiple MUNI lines
Transit Score: 100 | Bike Score: 91 | Walk Score: 99
Amenities
On-site grocery store
Hardwood floors (refinished oak)
High ceilings & bay windows
Loft (sleeping/storage)
Large refrigerator & gas stove
Solid wood kitchen cabinets
Tiled kitchen & bathroom
Eat-in kitchen
Walk-in closet & extra storage
Sunny & bright with skyline views
Cable/internet ready
On-site laundry facilities
Phone-based entry system
Live-in on-site manager
Smoke-free building
Underwriting Criteria
3x monthly rent in gross income
3x monthly rent in bank assets
Credit score of 600 or above
Proof of income (offer letter, pay stubs, tax return, etc.)
Proof of assets (bank statements, investment accounts, etc.)
If you do not meet any of the criteria as an individual applicant, you may qualify with:
Additional tenants on the lease
A Guarantor/Co-Signer
We have multiple units available!
Rental listings are subject to change at any time. SFRent believes all information contained herein to be correct. SFRent assumes no legal responsibility for the accuracy of, any errors, or any omissions in this ad or any syndicated ads on third-party websites. Square footage is an estimate only, not an exact measurement.",2025-12-03 00:47:33,124571.64,3286,2599
56093,7898269127,1795,0.0,1.0,329.0,94109,tenderloin,"QR Code Link to This Post
138 Hyde Street #2, San Francisco, CA
Upcoming Unit:
Visit us here: https://sfrent.net/advertised_apartments/138-hyde-street-unit02
3D TOUR: Upcoming
Description
Welcome to 138 Hyde St – The Jekyll Apartments!
Located in San Francisco’s vibrant Tenderloin neighborhood, 138 Hyde Street - Jekyll Apartments, offers a perfect balance of urban energy and everyday convenience. Surrounded by cultural landmarks, eclectic dining, and world-class transit, this is city living at its finest.
Start your morning with coffee at Equator Coffees or Little Griddle, both just steps away. For a quick lunch, Brenda’s French Soul Food is a local favorite, or grab a slice at Montesacro Pinseria. Craving something different? The diverse dining scene includes everything from Vietnamese pho to classic American diners, all within a short walk.
Catch the latest blockbuster or an independent film at Apple Cinemas San Francisco with IMAX and 14 screens, just a few blocks away. Stroll over to Polk Street for trendy bars, boutiques, and nightlife, or shop the world-renowned stores of Union Square, only a 10-minute walk from your front door. And don’t forget - the iconic San Francisco cable cars are just a 7-minute walk away, ready to take you up Nob Hill or down to the waterfront.
When you’re ready for some fresh air, nearby parks include Jefferson Square Park, Boeddeker Park, and Lafayette Park, each offering green escapes within walking distance. A quick ride takes you to the Tunnel Tops at The Presidio, where sweeping views of the Golden Gate Bridge and the Bay await. Perfect for a weekend stroll or a walk with your pup, since we’re proud to be a pet-friendly community!
Transit is seamless from this location. Civic Center/UN Plaza BART & Muni Station is just a 6-minute walk, connecting you across the Bay Area via BART and throughout the city with Muni trains. Powell Street Station is also within walking distance, giving you quick access to Market Street, Westfield Centre, and SoMa. Multiple Muni bus lines and stops are also just steps away from your front door.
Walk Score: 99 / 100 – Walker’s Paradise
Daily errands don’t require a car - everything you need is just steps from your door.
Transit Score: 100 / 100 – A Perfect Score
World-class public transportation with Civic Center/UN Plaza and Powell Street Stations, plus multiple Muni lines within walking distance.
Bike Score: 94 / 100 – Biker’s Paradise
Excellent bike access with flat terrain and good infrastructure for commuting or casual rides.
138 Hyde Street, Jekyll Apartments, places you at the center of San Francisco’s energy and culture. steps from dining, shopping, entertainment, green spaces, and world-class transit. With unbeatable walkability, a perfect transit score, pet-friendly living, and a vibrant neighborhood spirit, this is the perfect place to call home.
We hope you will join our community!
Unit Details
Studio/ 1 Bath
329 sqft (approximately)
Security deposit = 1 month rent
Pets Allowed: cats, dogs, smaller creatures
Beautiful oak hardwood floors
Laundry facilities onsite
High ceilings
Elevator access
Live in onsite manager
Recently remodeled
Tiled bathroom
Loft - sleeping/storage
Phone based entry system
Cable/internet ready
Unfurnished apartment
Underwriting Criteria
3x monthly rent in gross income
3x monthly rent in bank assets
Credit score of 600 or above
Proof of income (offer letter, pay stubs, tax return, etc.)
Proof of assets (bank statements, investment accounts, etc.)
If you do not meet any of the criteria as an individual applicant, you may qualify with:
Additional tenants on the lease
A Guarantor/Co-Signer
We have multiple units available!
Rental listings are subject to change at any time. SFRent believes all information contained herein to be correct. SFRent assumes no legal responsibility for the accuracy of, any errors, or any omissions in this ad or any syndicated ads on third-party websites. Square footage is an estimate only, not an exact measurement.",2025-12-03 00:47:33,124571.64,3286,2599
